Date,Open,High,Low,Close,Volume
27-11-2007,320.6,332.8,320.6,328.62,968500.0
28-11-2007,335.2,336.58,320.0,323.13,733500.0
29-11-2007,328.4,377.3,328.4,336.39,835500.0
30-11-2007,339.8,350.6,339.8,345.47,570250.0
03-12-2007,346.0,348.0,338.2,342.41,478250.0
04-12-2007,345.4,345.4,340.11,341.56,249750.0
05-12-2007,342.0,348.98,340.42,347.78,506500.0
06-12-2007,350.4,357.6,336.5,340.71,715250.0
07-12-2007,347.17,350.0,344.0,346.59,539000.0
10-12-2007,342.01,345.74,338.0,340.15,379250.0
11-12-2007,343.96,359.79,342.04,357.2,678500.0
12-12-2007,352.01,360.8,345.0,357.96,737000.0
13-12-2007,353.4,355.18,348.0,351.55,600750.0
14-12-2007,348.0,349.98,341.25,345.51,507500.0
17-12-2007,343.2,343.2,333.0,335.34,453000.0
18-12-2007,330.0,340.4,323.0,330.74,1196000.0
19-12-2007,352.0,352.0,325.4,331.85,962250.0
20-12-2007,329.4,332.6,326.0,330.29,404750.0
24-12-2007,339.94,345.0,334.05,341.5,878500.0
26-12-2007,341.2,343.76,336.6,342.31,570250.0
27-12-2007,343.01,349.74,343.01,348.27,523750.0
28-12-2007,340.0,347.96,338.0,346.69,548000.0
31-12-2007,349.8,349.8,343.21,345.21,227250.0
01-01-2008,344.4,344.4,340.42,343.34,269250.0
02-01-2008,344.02,348.8,338.01,346.12,825250.0
03-01-2008,344.0,344.0,338.47,339.87,515250.0
04-01-2008,340.2,343.34,338.66,341.54,496250.0
07-01-2008,332.0,335.79,326.6,331.71,1445500.0
08-01-2008,335.4,342.76,335.0,341.81,1607000.0
09-01-2008,339.8,351.98,339.8,347.74,1469500.0
10-01-2008,349.0,357.0,342.62,345.98,1239750.0
11-01-2008,347.27,354.9,345.8,352.62,964750.0
14-01-2008,351.8,364.5,349.8,359.68,937500.0
15-01-2008,362.4,366.0,354.6,358.05,818750.0
16-01-2008,346.4,347.0,332.13,337.33,1206000.0
17-01-2008,332.0,334.5,324.4,330.53,969750.0
18-01-2008,320.0,326.7,314.0,317.13,844500.0
21-01-2008,312.6,314.0,297.1,303.09,1040250.0
22-01-2008,280.0,324.0,250.33,287.75,667250.0
